Aalborg University,11200 DKK
Leiden University,396 EUR
Leonardo da Vinci University Center,708 EUR
Leuphana Universitaet Lueneburg,325 EUR
Leuphana University,432 EUR
Leuphana University of Luneburg,347 EUR
Lille Catholic University,450 EUR
Lille Catholic University ( I?SEG ),425 EUR
Linkoping University,3314 SEK
Linnaeus University,3665 SEK
London College of Fashion,1500 USD
Lucerne University of Applied Sciences and Arts,1750 CHF
MCI Management Center Innsbruck,310 EUR
MONTANA STATE UNIVERSITY,
MOSCOW NATIONAL COLLEDGE RUSSIAN LANQUAGE,26291 RUB
Maastricht University,350 EUR
Mainz University of Applied Sciences,337 EUR
Mainz university of Applied science(Hochschule Mainz),340 EUR
Major University,17000 MXN
Masaryk University,4108 CZK
Masaryk university,4000 CZK
Memorial University of Newfoundland,2395 USD
Memorial University of Newfoundland (Grenfell Campus),1800 CAD
Middlesex University,4050 GBP
Monterrey Institute of Technology and Higher Education,5360 MXN
NATIONAL CHIAO TUNG UNIVERSITY,7880 TWD
NEOMA Business School,284 EUR
NHL Stenden University of Applied Sciences,411 EUR
Nagasaki University,14250 JPY
Nagoya University,19548 JPY
Nagoya Univesity ,22000 JPY
Nankai University,60 CNY
Nanyang Technological University,1200 SGD
National Chengchi University,11259 NTD
National Chiao Tung University,8890 TWD
National Chung Cheng University,6800 NTD
National Institute for Oriental Languages and Civilizations,3150 EUR
National Sun Yat-sen University,8421 NTD
National Taipei University of Technology,12000 NTD
National Taiwan Normal University,5000 NTD
National Taiwan University,6257 NTD
National University of Ireland,
Niels Brock Copenhagen Business College,
Nipissing University,3061 CAD
Nishogakusha University,330000 JPY
North Park University,773 USD
Northumbria University,3824 GBP
Northwestern Polytechnical University,676 USD
Okanagan College,"2,940 CAD."
Okayama University,
Osnabrueck University of Applied Sciences,289 EUR
PUSHKIN STATE RUSSIAN LANGUAGE INSTITUTE,463 EUR
Pantheon-Sorbonne University,701 EUR
Paris Dauphine University,522 EUr
Paris School of Business,783 EUR
Peking University,4557 CNY
Pennsylvania State University,4881 USD
Polytechnic University of Milan,730 EUR
Portland State University,
Pushkin Institute,40211 RUB
Queen Mary University of London,425 EUR
Queen's University Belfast,1700 GBP
Queensland University of Technology,1385 AUD
RWTH Aachen University,266 EUR
Radboud University Nijmegen,405 EUR
"Renmin University of China, School of Business",1725 CNY
Ritsumeikan University,39336 JPY
Roskilde University,3300 DKK
"Royal Holloway, University of London",
Ruhr Universitat Bochum,336 EUR
Ruhr University Bochum,327 EUR
Ruhr University of Bochum,325 EUR
SGH Warsaw School of Economics,2550 PLN
Sabancı University,3970 TRY
Saint Petersburg State University,3489 RUB
Shandong University,3690 CNY
Shanghai Jiao Tong University,2230 CNY
Simon Fraser University,2284 CAD
Singapore Management University,700 SGD
Soka University of America,
St. Polten University of Applied Sciences,360 EUR
State University of New York,
State University of New York at Buffalo,3944 USD
Stendhal University,304 EUR
Stockholm University,
Sun Yat-sen University,2746 CNY
Sun-Yat-Sen University(중산대학),
Swinburne University of Technology,1029 AUD
TEC DE MONTERREY CAMPUS ESTADO DE MEXICO,
Tampere University,325 EUR
Tampere University of Applied Sciences,506 EUR
Tampere University of Technology,366 EUR
Technical University of Denmark,
Technical University of Denmark (Ballerup Campus),
Technical University of Denmark Ballerup Campus,
Technical University of Denmark Ballerup campus,2350 DKK
Technical University of Munich,431 EUR
"Tecnologico de Monterrey, Campus Monterrey",6520 MXN
Tennessee Technological University,2400 USD
The Australian National University (ANU),6000 AUD
The Hague University of Applied Sciences,411 EUR
The University of Sheffield,2968 GBP
The Universiy Of Sheffield,2600 GBP
Tianjin University,
Tilburg University,335 EUR
Tohoku University,123333 JPY'
Toronto Metropolitan University,2347 CAD
Toyo University,48000 JPY
Trinity College Dublin,"평균 금액은 약 2,547만원(한화)이 됩니다."
Turku University of Applied Sciences,347 EUR
ULB Universite Libre de BRUXELLES,423 EUR
UNIVERSITY OF ALICANTE,260 EUR
UNIVERSITY OF APPLIED SCIENCE OF WKW,
"UNIVERSITY OF APPLIED SCIENCE OF WKW (FACHHOCHSCHULE WIEN, 이하 FH WIEN)",
UNIVERSITY OF TOURS,251 EUR
UNIVERSITY OF TUEBINGEN,285 EUR
Umea University,3300 SEK
United Kingdom,2100 GBP
Universidad Autonoma de Guadalajara,
Universidad Iberoamericana,4000 MXN
Universidad San Francisco de Quito,1500 USD
Universit?t T?bingen,300 EUR
Universita Cattolica del Sacro Cuore,500 EUR
Universita Iuav di Venezia,696 EUR
Universite Paris Dauphine,396 EUR
Universite catholique de Lille,470 EUR
Universite du Quebec a Montreal,517 CAD
Universite libre de Bruxelles,600 EUR
University College Dublin,693 EUR
University College London,250 GBP
University Tuebingen,285 EUR
University at Buffalo,4637 USD
University of Alicante,732 EUR
University of Applied Science,217 EUR
University of Applied Science Upper Austria (Wels campus),480 EUR
University of Applied Sciences Kufstein,309 EUR
University of Applied Sciences Northwestern Switzerland,1166 USD
University of Applied Sciences Upper Austria,473 USD
University of Applied Sciences Upper Austria (Hagenberg Campus),274 EUR
University of Applied Sciences Upper Austria (Steyr),
University of Applied Sciences Upper Austria (Wels Campus),334 EUR
University of Applied Sciences Utrecht,505 EUR
University of Applied Sciences Wiener Neustadt,283 EUR
University of Applied Sciences of WKW,370 EUR
"University of Applied Sciences, Worms",650 EUR
University of Arkansas,
University of Auckland,
University of Barcelona,509 EUR
University of Basque Country,365 EUR
University of Basque Country (Biscay Campus),310 EUR
University of Basque Country (Gipuzkoa Campus),
University of Basque Country (UPV/EHU),437 EUR
University of Bern,751 CHF
University of Bristol,453 GBP
University of British Columbia,671 CAD
"University of California, Berkeley",2475 USD
"University of California, Los Angeles",1165 USD
"University of California, San Diego",
"University of California, Santa Cruz",1387 USD
University of Central Lancashire,167 GBP
University of Colorado Boulder,800 USD
University of Copenhagen,4871 DKK
University of Cyprus,250 EUR
University of Deusto,371 EUR
University of Eastern Finland,333 EUR
"University of Eastern Finland, Kuopio campus",
University of Edinburgh,521 GBP
University of Erfurt,683 EUR
University of Erlangen-Nuremberg,250 EUR
University of Gavle,
University of Granada,300 EUR
University of Groningen,401 EUR
University of Hawaii at Manoa,
University of Helsinki,400 EUR
University of Iceland,62000 ISK
University of Illinois Springfield,3405 USD
University of Illinois Urbana-Champaign,
University of Iowa,
University of KwaZulu-Natal,
University of Lapland,563 EUR
University of Leeds,720 GBP
University of Leicester,1902 GBP
University of Lille,376 EUR
University of Malaga,314 EUR
University of Manchester,525 GBP
University of Manitoba,1207 CAD
University of Massachusetts Boston,2312 USD
University of Melbourne,2085 AUD
University of Minnesota,2882 USD
University of New South Wales,2355 USD
University of Newcastle,206 AUD
University of North Carolina at Chapel Hill,3064 USD
University of North Carolina at Greensboro,3052 USD
University of North Florida,3011 USD
University of Nottingham,522 GBP
University of Nottingham Ningbo China,1100 CNY
University of Oklahoma,1980 USD
University of Oslo,3600 NOK
University of Pecs,40000 ft
University of Pittsburgh,4377 USD
University of Quebec at Montreal,2400 CAD
University of Reading,808 GBP
University of Roehampton,543 GBP
University of Rostock,552 EUR
University of Sao Paulo,
University of Saskatchewan,3125 CAD
University of Sheffield,2832 GBP
University of South Carolina,3540 USD
University of Southern Denmark,2616 DKK
University of Tampere,242 EUR
University of Technology of Troyes,283 EUR
University of Texas at Austin,3919 USD
University of Texas at Dallas,2735 USD
University of Tours,215 EUR
University of Tuebingen,274 EUR
University of Utah,2447 USD
University of Vaasa,223 EUR
University of Verona,270 EUR
University of Washington,
University of Western Australia,1286 AUD
University of Wollongong,
University of Wyoming,429 USD
University of the Basque Country,340 EUR
University of the Sacared Heart,
University of the Sunshine Coast,3900 USD
University of the West of England,2054 GBP
Uppsala University,4067 SEK
Ural Federal University,
Ural State University,
Utrecht University,659 EUR
Vilnius University,71 EUR
Vorarlberg University of Applied Sciences,977 EUR
Vrije Universiteit Amsterdam,580 EUR
Vrije University,400 EUR
Vytautas Magnus University,
Warsaw School of Economics,2554 PLD
Waseda University,58250 JPY
Washington State University,5160 USD
Western Illinois University,4207 USD
Worms University of Applied Sciences,295 EUR
Xi'an Jiaotong University,
York St John University,2180 GBP
York University,
Zagreb School of Economics and Management,253 EUR
Zagreb school of economics and management,250 EUR
Zurich University of Applied Sciences,1075 CHF
École centrale d'électronique,850 EUR
